SWMM5 LID Report File

Project:  
LID Unit: SWALE in Subcatchment SWALE

                    	  Elapsed	    Total	    Total	  Surface	 Pavement	     Soil	  Storage	  Surface	    Drain	  Surface	 Pavement	     Soil	  Storage
                    	     Time	   Inflow	     Evap	    Infil	     Perc	     Perc	    Exfil	   Runoff	  OutFlow	    Level	    Level	 Moisture	    Level
Date        Time    	    Hours	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	   inches	   inches	  Content	   inches
----------- --------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------
 04/07/2016 00:05:00	    0.083	    0.080	   0.0000	    0.080	    0.000	    0.000	    0.072	   0.000	    0.000	    0.000	    0.000	    0.000	    0.000
 04/07/2016 00:10:00	    0.167	    0.080	   0.0036	    0.084	    0.000	    0.000	    0.076	   0.000	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 00:15:00	    0.250	    0.080	   0.0038	    0.089	    0.000	    0.000	    0.080	   0.000	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 00:20:00	    0.333	    0.080	   0.0038	    0.087	    0.000	    0.000	    0.078	   0.000	    0.000	    0.000	    0.000	    0.000	    0.000
 04/07/2016 00:25:00	    0.417	    0.080	   0.0026	    0.083	    0.000	    0.000	    0.075	   0.000	    0.000	    0.000	    0.000	    0.000	    0.000
 04/07/2016 00:30:00	    0.500	    0.080	   0.0027	    0.083	    0.000	    0.000	    0.075	   0.000	    0.000	    0.000	    0.000	    0.000	    0.000
 04/07/2016 00:35:00	    0.583	    0.090	   0.0038	    0.096	    0.000	    0.000	    0.086	   0.000	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 00:40:00	    0.667	    0.090	   0.0038	    0.097	    0.000	    0.000	    0.087	   0.000	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 00:45:00	    0.750	    0.090	   0.0038	    0.096	    0.000	    0.000	    0.086	   0.000	    0.000	    0.000	    0.000	    0.000	    0.000
 04/07/2016 00:50:00	    0.833	    0.090	   0.0038	    0.095	    0.000	    0.000	    0.086	   0.000	    0.000	    0.000	    0.000	    0.000	    0.000
 04/07/2016 00:55:00	    0.917	    0.090	   0.0038	    0.095	    0.000	    0.000	    0.086	   0.000	    0.000	    0.000	    0.000	    0.000	    0.000
 04/07/2016 01:00:00	    1.000	    0.103	   0.0038	    0.109	    0.000	    0.000	    0.098	   0.000	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 01:05:00	    1.083	    0.124	   0.0038	    0.131	    0.000	    0.000	    0.118	   0.000	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 01:10:00	    1.167	    0.139	   0.0038	    0.148	    0.000	    0.000	    0.133	   0.000	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 01:15:00	    1.250	    0.147	   0.0038	    0.158	    0.000	    0.000	    0.142	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 01:20:00	    1.333	    0.151	   0.0038	    0.163	    0.000	    0.000	    0.147	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 01:25:00	    1.417	    0.153	   0.0038	    0.165	    0.000	    0.000	    0.149	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 01:30:00	    1.500	    0.154	   0.0038	    0.166	    0.000	    0.000	    0.149	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 01:35:00	    1.583	    0.154	   0.0038	    0.166	    0.000	    0.000	    0.149	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 01:40:00	    1.667	    0.154	   0.0038	    0.166	    0.000	    0.000	    0.150	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 01:45:00	    1.750	    0.154	   0.0038	    0.167	    0.000	    0.000	    0.150	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 01:50:00	    1.833	    0.154	   0.0038	    0.167	    0.000	    0.000	    0.150	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 01:55:00	    1.917	    0.154	   0.0038	    0.166	    0.000	    0.000	    0.150	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 02:00:00	    2.000	    0.154	   0.0038	    0.166	    0.000	    0.000	    0.150	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 02:05:00	    2.083	    0.169	   0.0038	    0.181	    0.000	    0.000	    0.163	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 02:10:00	    2.167	    0.170	   0.0038	    0.183	    0.000	    0.000	    0.165	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 02:15:00	    2.250	    0.171	   0.0038	    0.185	    0.000	    0.000	    0.167	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 02:20:00	    2.333	    0.172	   0.0038	    0.186	    0.000	    0.000	    0.167	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 02:25:00	    2.417	    0.172	   0.0038	    0.186	    0.000	    0.000	    0.167	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 02:30:00	    2.500	    0.172	   0.0038	    0.185	    0.000	    0.000	    0.167	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 02:35:00	    2.583	    0.172	   0.0038	    0.186	    0.000	    0.000	    0.167	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 02:40:00	    2.667	    0.172	   0.0038	    0.186	    0.000	    0.000	    0.167	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 02:45:00	    2.750	    0.172	   0.0038	    0.186	    0.000	    0.000	    0.167	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 02:50:00	    2.833	    0.172	   0.0038	    0.186	    0.000	    0.000	    0.167	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 02:55:00	    2.917	    0.172	   0.0038	    0.186	    0.000	    0.000	    0.167	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 03:00:00	    3.000	    0.172	   0.0038	    0.186	    0.000	    0.000	    0.167	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 03:05:00	    3.083	    0.172	   0.0038	    0.186	    0.000	    0.000	    0.167	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 03:10:00	    3.167	    0.172	   0.0038	    0.186	    0.000	    0.000	    0.167	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 03:15:00	    3.250	    0.172	   0.0038	    0.186	    0.000	    0.000	    0.167	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 03:20:00	    3.333	    0.172	   0.0038	    0.186	    0.000	    0.000	    0.167	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 03:25:00	    3.417	    0.172	   0.0038	    0.186	    0.000	    0.000	    0.167	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 03:30:00	    3.500	    0.172	   0.0038	    0.186	    0.000	    0.000	    0.167	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 03:35:00	    3.583	    0.186	   0.0038	    0.200	    0.000	    0.000	    0.180	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 03:40:00	    3.667	    0.188	   0.0038	    0.203	    0.000	    0.000	    0.182	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 03:45:00	    3.750	    0.189	   0.0038	    0.205	    0.000	    0.000	    0.184	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 03:50:00	    3.833	    0.189	   0.0038	    0.205	    0.000	    0.000	    0.185	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 03:55:00	    3.917	    0.189	   0.0038	    0.205	    0.000	    0.000	    0.184	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 04:00:00	    4.000	    0.189	   0.0038	    0.205	    0.000	    0.000	    0.184	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 04:05:00	    4.083	    0.189	   0.0038	    0.205	    0.000	    0.000	    0.184	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 04:10:00	    4.167	    0.189	   0.0038	    0.205	    0.000	    0.000	    0.185	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 04:15:00	    4.250	    0.189	   0.0038	    0.205	    0.000	    0.000	    0.185	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 04:20:00	    4.333	    0.189	   0.0038	    0.205	    0.000	    0.000	    0.185	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 04:25:00	    4.417	    0.189	   0.0038	    0.205	    0.000	    0.000	    0.184	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 04:30:00	    4.500	    0.189	   0.0038	    0.205	    0.000	    0.000	    0.184	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 04:35:00	    4.583	    0.204	   0.0038	    0.219	    0.000	    0.000	    0.198	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 04:40:00	    4.667	    0.206	   0.0038	    0.222	    0.000	    0.000	    0.200	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 04:45:00	    4.750	    0.206	   0.0038	    0.224	    0.000	    0.000	    0.202	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 04:50:00	    4.833	    0.207	   0.0038	    0.225	    0.000	    0.000	    0.202	   0.001	    0.000	    0.001	    0.000	    0.000	    0.000
