SWMM5 LID Report File

Project:   Example 5 
LID Unit: BC in Subcatchment wBC

                    	  Elapsed	    Total	    Total	  Surface	 Pavement	     Soil	  Storage	  Surface	    Drain	  Surface	 Pavement	     Soil	  Storage
                    	     Time	   Inflow	     Evap	    Infil	     Perc	     Perc	    Exfil	   Runoff	  OutFlow	    Level	    Level	 Moisture	    Level
Date        Time    	    Hours	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	   inches	   inches	  Content	   inches
----------- --------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------
 09/13/2014 00:15:00	    0.250	    0.042	   0.0000	    0.042	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.101	    0.000
 09/13/2014 00:30:00	    0.500	    0.151	   0.0000	    0.151	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.104	    0.000
 09/13/2014 00:45:00	    0.750	    0.414	   0.0000	    0.414	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.113	    0.000
 09/13/2014 01:00:00	    1.000	    0.994	   0.0000	    0.844	    0.000	    0.000	    0.000	   0.000	    0.000	    0.050	    0.000	    0.130	    0.000
 09/13/2014 01:15:00	    1.250	    1.645	   0.0042	    0.566	    0.000	    0.000	    0.000	   0.000	    0.000	    0.408	    0.000	    0.142	    0.000
 09/13/2014 01:30:00	    1.500	    2.245	   0.0042	    0.483	    0.000	    0.000	    0.000	   0.000	    0.000	    0.994	    0.000	    0.152	    0.000
 09/13/2014 01:45:00	    1.750	    2.790	   0.0042	    0.452	    0.000	    0.000	    0.000	   0.000	    0.000	    1.772	    0.000	    0.162	    0.000
 09/13/2014 02:00:00	    2.000	    3.305	   0.0042	    0.442	    0.000	    0.000	    0.000	   0.000	    0.000	    2.725	    0.000	    0.171	    0.000
 09/13/2014 02:15:00	    2.250	    3.799	   0.0042	    0.442	    0.000	    0.000	    0.000	   0.000	    0.000	    3.843	    0.000	    0.180	    0.000
 09/13/2014 02:30:00	    2.500	    3.986	   0.0042	    0.448	    0.000	    0.000	    0.000	   0.000	    0.000	    5.021	    0.000	    0.189	    0.000
 09/13/2014 02:45:00	    2.750	    3.815	   0.0042	    0.455	    0.000	    0.000	    0.000	   0.000	    0.000	    6.139	    0.000	    0.199	    0.000
 09/13/2014 03:00:00	    3.000	    3.568	   0.0042	    0.459	    0.000	    0.000	    0.000	   0.000	    0.000	    7.174	    0.000	    0.208	    0.000
 09/13/2014 03:15:00	    3.250	    3.296	   0.0042	    0.459	    0.000	    0.005	    0.005	   0.000	    0.000	    8.119	    0.000	    0.218	    0.000
 09/13/2014 03:30:00	    3.500	    3.024	   0.0042	    0.457	    0.000	    0.006	    0.006	   0.000	    0.000	    8.973	    0.000	    0.227	    0.000
 09/13/2014 03:45:00	    3.750	    2.748	   0.0042	    0.453	    0.000	    0.007	    0.007	   0.000	    0.000	    9.737	    0.000	    0.236	    0.000
 09/13/2014 04:00:00	    4.000	    2.475	   0.0042	    0.447	    0.000	    0.007	    0.007	   0.000	    0.000	   10.411	    0.000	    0.246	    0.000
 09/13/2014 04:15:00	    4.250	    2.200	   0.0042	    0.441	    0.000	    0.008	    0.008	   0.000	    0.000	   10.996	    0.000	    0.255	    0.000
 09/13/2014 04:30:00	    4.500	    1.929	   0.0042	    0.434	    0.000	    0.009	    0.009	   0.000	    0.000	   11.493	    0.000	    0.263	    0.000
 09/13/2014 04:45:00	    4.750	    1.657	   0.0042	    0.426	    0.000	    0.009	    0.009	   0.000	    0.000	   11.902	    0.000	    0.272	    0.000
 09/13/2014 05:00:00	    5.000	    1.390	   0.0042	    0.417	    0.000	    0.010	    0.010	   0.000	    0.000	   12.225	    0.000	    0.281	    0.000
 09/13/2014 05:15:00	    5.250	    1.127	   0.0042	    0.408	    0.000	    0.011	    0.011	   0.902	    0.000	   12.163	    0.000	    0.289	    0.000
 09/13/2014 05:30:00	    5.500	    0.865	   0.0042	    0.394	    0.000	    0.012	    0.012	   0.652	    0.000	   12.101	    0.000	    0.297	    0.000
 09/13/2014 05:45:00	    5.750	    0.611	   0.0042	    0.381	    0.000	    0.013	    0.013	   0.404	    0.000	   12.042	    0.000	    0.305	    0.000
 09/13/2014 06:00:00	    6.000	    0.366	   0.0042	    0.370	    0.000	    0.014	    0.014	   0.166	    0.000	   11.983	    0.000	    0.312	    0.000
 09/13/2014 06:15:00	    6.250	    0.203	   0.0042	    0.360	    0.000	    0.015	    0.015	   0.000	    0.000	   11.930	    0.000	    0.319	    0.000
 09/13/2014 06:30:00	    6.500	    0.128	   0.0042	    0.350	    0.000	    0.016	    0.016	   0.000	    0.000	   11.854	    0.000	    0.326	    0.000
 09/13/2014 06:45:00	    6.750	    0.085	   0.0042	    0.341	    0.000	    0.018	    0.018	   0.000	    0.000	   11.767	    0.000	    0.333	    0.000
 09/13/2014 07:00:00	    7.000	    0.059	   0.0042	    0.333	    0.000	    0.019	    0.019	   0.000	    0.000	   11.675	    0.000	    0.339	    0.000
 09/13/2014 07:15:00	    7.250	    0.041	   0.0042	    0.325	    0.000	    0.020	    0.020	   0.000	    0.000	   11.578	    0.000	    0.346	    0.000
 09/13/2014 07:30:00	    7.500	    0.029	   0.0042	    0.318	    0.000	    0.021	    0.021	   0.000	    0.000	   11.480	    0.000	    0.352	    0.000
 09/13/2014 07:45:00	    7.750	    0.020	   0.0042	    0.311	    0.000	    0.023	    0.023	   0.000	    0.000	   11.382	    0.000	    0.358	    0.000
 09/13/2014 08:00:00	    8.000	    0.014	   0.0042	    0.305	    0.000	    0.024	    0.024	   0.000	    0.000	   11.283	    0.000	    0.364	    0.000
 09/13/2014 08:15:00	    8.250	    0.009	   0.0042	    0.299	    0.000	    0.026	    0.026	   0.000	    0.000	   11.185	    0.000	    0.370	    0.000
 09/13/2014 08:30:00	    8.500	    0.006	   0.0042	    0.294	    0.000	    0.027	    0.027	   0.000	    0.000	   11.088	    0.000	    0.375	    0.000
 09/13/2014 08:45:00	    8.750	    0.003	   0.0042	    0.288	    0.000	    0.029	    0.029	   0.000	    0.000	   10.991	    0.000	    0.380	    0.000
 09/13/2014 09:00:00	    9.000	    0.001	   0.0042	    0.283	    0.000	    0.030	    0.030	   0.000	    0.000	   10.896	    0.000	    0.386	    0.000
 09/13/2014 09:15:00	    9.250	    0.000	   0.0042	    0.279	    0.000	    0.032	    0.032	   0.000	    0.000	   10.802	    0.000	    0.391	    0.000
 09/13/2014 09:30:00	    9.500	    0.000	   0.0042	    0.274	    0.000	    0.034	    0.034	   0.000	    0.000	   10.709	    0.000	    0.396	    0.000
 09/13/2014 09:45:00	    9.750	    0.000	   0.0042	    0.270	    0.000	    0.035	    0.035	   0.000	    0.000	   10.618	    0.000	    0.401	    0.000
 09/13/2014 10:00:00	   10.000	    0.000	   0.0042	    0.266	    0.000	    0.037	    0.037	   0.000	    0.000	   10.528	    0.000	    0.406	    0.000
 09/13/2014 10:15:00	   10.250	    0.000	   0.0042	    0.262	    0.000	    0.039	    0.039	   0.000	    0.000	   10.439	    0.000	    0.410	    0.000
 09/13/2014 10:30:00	   10.500	    0.000	   0.0042	    0.259	    0.000	    0.041	    0.041	   0.000	    0.000	   10.351	    0.000	    0.415	    0.000
 09/13/2014 10:45:00	   10.750	    0.000	   0.0042	    0.255	    0.000	    0.043	    0.043	   0.000	    0.000	   10.265	    0.000	    0.419	    0.000
 09/13/2014 11:00:00	   11.000	    0.000	   0.0042	    0.252	    0.000	    0.045	    0.045	   0.000	    0.000	   10.179	    0.000	    0.423	    0.000
 09/13/2014 11:15:00	   11.250	    0.000	   0.0042	    0.249	    0.000	    0.047	    0.047	   0.000	    0.000	   10.095	    0.000	    0.428	    0.000
 09/13/2014 11:30:00	   11.500	    0.000	   0.0042	    0.246	    0.000	    0.049	    0.049	   0.000	    0.000	   10.012	    0.000	    0.432	    0.000
 09/13/2014 11:45:00	   11.750	    0.000	   0.0042	    0.243	    0.000	    0.051	    0.051	   0.000	    0.000	    9.930	    0.000	    0.436	    0.000
 09/13/2014 12:00:00	   12.000	    0.000	   0.0042	    0.240	    0.000	    0.053	    0.053	   0.000	    0.000	    9.848	    0.000	    0.440	    0.000
 09/13/2014 12:15:00	   12.250	    0.000	   0.0042	    0.237	    0.000	    0.055	    0.055	   0.000	    0.000	    9.768	    0.000	    0.444	    0.000
 09/13/2014 12:30:00	   12.500	    0.000	   0.0042	    0.235	    0.000	    0.057	    0.057	   0.000	    0.000	    9.688	    0.000	    0.447	    0.000
 09/13/2014 12:45:00	   12.750	    0.000	   0.0042	    0.232	    0.000	    0.059	    0.059	   0.000	    0.000	    9.609	    0.000	    0.451	    0.000
 09/13/2014 13:00:00	   13.000	    0.000	   0.0042	    0.230	    0.000	    0.061	    0.061	   0.000	    0.000	    9.531	    0.000	    0.454	    0.000
 09/13/2014 13:15:00	   13.250	    0.000	   0.0042	    0.227	    0.000	    0.063	    0.063	   0.000	    0.000	    9.454	    0.000	    0.458	    0.000
 09/13/2014 13:30:00	   13.500	    0.000	   0.0042	    0.225	    0.000	    0.066	    0.066	   0.000	    0.000	    9.378	    0.000	    0.461	    0.000
 09/13/2014 13:45:00	   13.750	    0.000	   0.0042	    0.223	    0.000	    0.068	    0.068	   0.000	    0.000	    9.302	    0.000	    0.464	    0.000
 09/13/2014 14:00:00	   14.000	    0.000	   0.0042	    0.221	    0.000	    0.070	    0.070	   0.000	    0.000	    9.227	    0.000	    0.467	    0.000
 09/13/2014 14:15:00	   14.250	    0.000	   0.0042	    0.219	    0.000	    0.072	    0.072	   0.000	    0.000	    9.152	    0.000	    0.471	    0.000
 09/13/2014 14:30:00	   14.500	    0.000	   0.0042	    0.217	    0.000	    0.074	    0.074	   0.000	    0.000	    9.079	    0.000	    0.474	    0.000
