1,'HPD'
2,'GREENSBORO,HIGH P, NC'
3,313630,313630,0,0,0,0,0,0,0,0
4,1948,07,1952,12
5,'HPCP',' ',' ',' ',' '
8,948,7,1,'HI',2
9,1,0,'0','0'
9,25,0,'0','0'
8,948,7,11,'HI',2
9,3,1,'0','0'
9,25,1,'0','0'
8,948,7,12,'HI',3
9,13,1,'0','0'
9,14,4,'0','0'
9,25,5,'0','0'
8,948,7,14,'HI',8
9,6,0,'M','0'
9,7,0,'M','0'
9,12,12,'0','0'
9,13,13,'0','0'
9,19,13,'0','0'
9,22,11,'0','0'
9,23,6,'0','0'
9,25,55,'I','0'
8,948,7,15,'HI',5
9,3,2,'0','0'
9,5,1,'0','0'
9,15,3,'0','0'
9,16,1,'0','0'
9,25,7,'0','0'
8,948,7,19,'HI',2
9,16,4,'0','0'
9,25,4,'0','0'
8,948,7,21,'HI',2
9,17,44,'0','0'
9,25,44,'0','0'
8,948,7,22,'HI',3
9,22,32,'0','0'
9,23,47,'0','0'
9,25,79,'0','0'
8,948,7,28,'HI',5
9,6,1,'0','0'
9,8,1,'0','0'
9,17,1,'0','0'
9,18,24,'0','0'
9,25,27,'0','0'
8,948,8,1,'HI',7
9,1,0,'0','0'
9,15,9,'0','0'
9,17,2,'0','0'
9,19,3,'0','0'
9,20,13,'0','0'
9,21,9,'0','0'
9,25,36,'0','0'
8,948,8,2,'HI',7
9,1,1,'0','0'
9,8,3,'0','0'
9,15,3,'0','0'
9,16,2,'0','0'
9,22,7,'0','0'
9,23,1,'0','0'
9,25,17,'0','0'
8,948,8,3,'HI',7
9,15,1,'0','0'
9,16,1,'0','0'
9,18,4,'0','0'
9,19,9,'0','0'
9,21,4,'0','0'
9,24,5,'0','0'
9,25,24,'0','0'
8,948,8,4,'HI',17
9,1,1,'0','0'
9,4,23,'0','0'
9,5,9,'0','0'
9,6,8,'0','0'
9,7,7,'0','0'
9,8,10,'0','0'
9,9,23,'0','0'
9,10,20,'0','0'
9,11,32,'0','0'
9,12,2,'0','0'
9,15,30,'0','0'
9,16,29,'0','0'
9,17,5,'0','0'
9,18,1,'0','0'
9,19,1,'0','0'
9,22,1,'0','0'
9,25,202,'0','0'
8,948,8,10,'HI',8
9,13,8,'0','0'
9,14,2,'0','0'
9,15,13,'0','0'
9,19,1,'0','0'
9,20,41,'0','0'
9,21,14,'0','0'
9,24,1,'0','0'
9,25,80,'0','0'
8,948,8,12,'HI',3
